date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:15	98/98	---MCZ	200	added ('OK')	text/plain	date:Fri,%2001%20Nov%202019%2016:21:38%20GMT	http://rodac-gob.mx/robots.txt		(from )
22:37:15	7199/7199	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2004:37:47%20GMT	http://rodac-gob.mx/	/home/david-pc/rodac/rodac/rodac-gob.mx/index.html	(from )
22:37:15	1022/1022	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2001%20Nov%202019%2016:21:40%20GMT	http://rodac-gob.mx/CDN/favicon.ico	/home/david-pc/rodac/rodac/rodac-gob.mx/CDN/favicon.ico	(from http://rodac-gob.mx/)
22:37:16	200128/200128	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2016:21:40%20GMT	http://rodac-gob.mx/CDN/main.css	/home/david-pc/rodac/rodac/rodac-gob.mx/CDN/main.css	(from http://rodac-gob.mx/)
22:37:16	7199/7199	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2004:37:48%20GMT	http://rodac-gob.mx/index.php	/home/david-pc/rodac/rodac/rodac-gob.mx/index-2.html	(from http://rodac-gob.mx/)
22:37:17	5877/5877	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2004:37:49%20GMT	http://rodac-gob.mx/verificacion.php	/home/david-pc/rodac/rodac/rodac-gob.mx/verificacion.html	(from http://rodac-gob.mx/)
22:37:17	3196/3196	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2004:37:49%20GMT	http://rodac-gob.mx/mision.php	/home/david-pc/rodac/rodac/rodac-gob.mx/mision.html	(from http://rodac-gob.mx/)
22:37:18	506/506	---MC-	200	added ('OK')	text/css	date:Thu,%2016%20Jan%202020%2004:37:50%20GMT	https://fonts.googleapis.com/css?family=Montserrat:400,600	/home/david-pc/rodac/rodac/fonts.googleapis.com/css4afe.css	(from http://rodac-gob.mx/)
22:37:18	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jan%202020%2004:37:50%20GMT	http://rodac-gob.mx/img/RODAC_Header2.png	/home/david-pc/rodac/rodac/rodac-gob.mx/img/RODAC_Header2-2.png	(from http://rodac-gob.mx/)
22:37:20	97047/97047	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202019%2016:21:38%20GMT	http://rodac-gob.mx/IMG/RODAC_Header2.png	/home/david-pc/rodac/rodac/rodac-gob.mx/IMG/RODAC_Header2.png	(from http://rodac-gob.mx/)
22:37:21	11265/11265	---M--	200	added ('OK')	image/png	etag:%225ce43161-2c01%22	https://www.gob.mx/cms/uploads/image/file/498707/inicio1.png	/home/david-pc/rodac/rodac/www.gob.mx/cms/uploads/image/file/498707/inicio1.png	(from http://rodac-gob.mx/)
22:37:21	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jan%202020%2004:37:53%20GMT	http://rodac-gob.mx/profesional.php	/home/david-pc/rodac/rodac/rodac-gob.mx/profesional.php	(from http://rodac-gob.mx/)
22:37:22	8801/8801	---M--	200	added ('OK')	image/png	etag:%225ce43161-2261%22	https://www.gob.mx/cms/uploads/image/file/498708/inicio2.png	/home/david-pc/rodac/rodac/www.gob.mx/cms/uploads/image/file/498708/inicio2.png	(from http://rodac-gob.mx/)
22:37:24	9894/9894	---M--	200	added ('OK')	image/png	etag:%225ce43162-26a6%22	https://www.gob.mx/cms/uploads/image/file/498709/inicio3.png	/home/david-pc/rodac/rodac/www.gob.mx/cms/uploads/image/file/498709/inicio3.png	(from http://rodac-gob.mx/)
22:37:24	16532/16532	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Nov%202019%2016:21:40%20GMT	http://rodac-gob.mx/CDN/gobmx.js	/home/david-pc/rodac/rodac/rodac-gob.mx/CDN/gobmx.js	(from http://rodac-gob.mx/)
22:37:24	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2016%20Jan%202020%2004:37:56%20GMT	https://fonts.googleapis.com/robots.txt		(from http://rodac-gob.mx/)
22:37:25	97047/97047	URF---	200	added ('OK%20(cached)')	image/png		http://rodac-gob.mx/IMG/RODAC_Header2.png	/home/david-pc/rodac/rodac/rodac-gob.mx/IMG/RODAC_Header2.png	(from http://rodac-gob.mx/)
22:37:25	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jan%202020%2004:37:57%20GMT	http://rodac-gob.mx/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot	/home/david-pc/rodac/rodac/rodac-gob.mx/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot	(from http://rodac-gob.mx/CDN/main.css)
22:37:25	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jan%202020%2004:37:58%20GMT	http://rodac-gob.mx/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot?	/home/david-pc/rodac/rodac/rodac-gob.mx/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from http://rodac-gob.mx/CDN/main.css)
